model,checkpoint,step_k,rec_acc,gen_mean,beh_avg,eb_star_mean,eb_star_max,best_layer_mode,n_prompts
pythia-160m-deduped,step0,0,0.1667,0.0,0.0833,0.1573,0.3065,6,12
pythia-160m-deduped,step15000,15,0.0,0.3333,0.1667,0.6439,0.717,3,12
pythia-160m-deduped,step30000,30,0.1667,0.6667,0.4167,0.6422,0.7804,3,12
pythia-160m-deduped,step60000,60,0.1667,0.5556,0.3611,0.6835,0.856,1,12
pythia-160m-deduped,step90000,90,0.5,0.5555,0.5278,0.7341,0.9064,11,12
pythia-160m-deduped,step120000,120,0.6667,0.5555,0.6111,0.8211,0.9167,8,12
pythia-160m-deduped,step140000,140,0.6667,0.5555,0.6111,0.8161,0.9158,3,12
pythia-160m-deduped,step143000,143,0.5,0.5,0.5,0.8313,0.9146,3,12
pythia-1b-deduped,step0,0,0.3333,0.0,0.1667,0.1455,0.2395,1,12
pythia-1b-deduped,step15000,15,0.6667,0.5555,0.6111,0.6461,0.7532,3,12
pythia-1b-deduped,step30000,30,0.8333,0.7222,0.7778,0.6106,0.7051,3,12
pythia-1b-deduped,step60000,60,0.6667,0.7222,0.6944,0.5947,0.6829,3,12
pythia-1b-deduped,step90000,90,0.5,0.7778,0.6389,0.598,0.7496,3,12
pythia-1b-deduped,step120000,120,0.6667,0.6667,0.6667,0.6077,0.8015,3,12
pythia-1b-deduped,step140000,140,0.6667,0.8333,0.75,0.6065,0.8232,3,12
pythia-1b-deduped,step143000,143,0.6667,0.9444,0.8056,0.5986,0.8257,0,12
pythia-2.8b-deduped,step0,0,0.5,0.0,0.25,0.1964,0.3242,1,12
pythia-2.8b-deduped,step15000,15,0.6667,0.6111,0.6389,0.8847,0.918,6,12
pythia-2.8b-deduped,step30000,30,0.8333,0.6667,0.75,0.8965,0.9331,12,12
pythia-2.8b-deduped,step60000,60,0.5,0.8333,0.6667,0.8884,0.9413,30,12
pythia-2.8b-deduped,step90000,90,0.6667,0.8333,0.75,0.8815,0.9279,27,12
pythia-2.8b-deduped,step120000,120,0.6667,0.8889,0.7778,0.8809,0.9315,30,12
pythia-2.8b-deduped,step140000,140,0.6667,0.8889,0.7778,0.8577,0.9402,4,12
pythia-2.8b-deduped,step143000,143,0.5,0.8333,0.6667,0.8698,0.9411,4,12
